"operation","parameter","simple","input.size","subset.ratio","overlap.ratio","range.a","range.b","range.mirror","epsilon","threshold","extrapolation.range"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,-40,-20,FALSE,1e-05,505.38393446811,"U[-40,-20]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,-6,-2,FALSE,1e-05,0.160019427416592,"U[-6,-2]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,-6.1,-1.2,FALSE,1e-05,0.111273765936094,"U[-6.1,-1.2]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,-2,-0.2,FALSE,1e-05,0.000920366996935862,"U[-2,-0.2]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,2,6,TRUE,1e-05,0.000230715983456882,"U[-6,-2] âˆª U[2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,0.2,2,FALSE,1e-05,0.000919984259479115,"U[0.2,2]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.160053064554457,"U[2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,1.2,6,FALSE,1e-05,0.105269192983145,"U[1.2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,20,40,FALSE,1e-05,505.342442052394,"U[20,40]"
